id,topic_id,timestamp,data
80,1,1747504341134522420,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000032.59\x00\x00\x00'"
81,1,1747504341134811550,b'\x00\x01\x00\x00\x1c\x00\x00\x00[GNHDT] Yaw: 360.00 degrees\x00'
82,1,1747504341134984053,"b'\x00\x01\x00\x00D\x00\x00\x00[PKHM] Roll:  3.687813\xc2\xb0, Pitch:  0.335900\xc2\xb0, Yaw:  359.999908*2B\xc2\xb0\x00'"
83,1,1747504341333637563,"b'\x00\x01\x00\x00r\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592858 E, Altitude: 39.446m, Satellites: 7, HDOP: 1.33, Fix: GPS Fix\x00\x00\x00'"
84,1,1747504341333971518,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000032.79, RMS: 0.00, \xcf\x83_lat: 0.87 m, \xcf\x83_lon: 0.87 m, \xcf\x83_alt: 84.80 m\x00\x00'"
85,1,1747504341334278972,"b'\x00\x01\x00\x007\x00\x00\x00[GNVTG] Track: 0.00 deg, Speed: 0.00 knots / 0.01 km/h\x00\x00'"
86,1,1747504341334503685,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000032.79\x00\x00\x00'"
87,1,1747504341334673999,b'\x00\x01\x00\x00\x1a\x00\x00\x00[GNHDT] Yaw: 0.00 degrees\x00\x00\x00'
88,1,1747504341334865507,"b'\x00\x01\x00\x00B\x00\x00\x00[PKHM] Roll:  3.679626\xc2\xb0, Pitch:  0.334496\xc2\xb0, Yaw:  0.002312*26\xc2\xb0\x00\x00\x00'"
89,1,1747504341525734866,"b'\x00\x01\x00\x00r\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592858 E, Altitude: 39.448m, Satellites: 7, HDOP: 1.33, Fix: GPS Fix\x00\x00\x00'"
90,1,1747504341525958563,"b'\x00\x01\x00\x00U\x00\x00\x00[GNGSA] Mode: A, Fix Type: 3, Used Satellites: \n  PDOP: 3.01, HDOP: 1.33, VDOP: 2.70\x00\x00\x00\x00'"
91,1,1747504341526227194,"b'\x00\x01\x00\x00U\x00\x00\x00[GNGSA] Mode: A, Fix Type: 3, Used Satellites: \n  PDOP: 3.01, HDOP: 1.33, VDOP: 2.70\x00\x00\x00\x00'"
92,1,1747504341526510939,"b'\x00\x01\x00\x00\\\x00\x00\x00[GNGSA] Mode: A, Fix Type: 3, Used Satellites: 6 9 10 \n  PDOP: 3.01, HDOP: 1.33, VDOP: 2.70\x00'"
93,1,1747504341526772606,"b'\x00\x01\x00\x00a\x00\x00\x00[GNGSA] Mode: A, Fix Type: 3, Used Satellites: 14 21 26 33 \n  PDOP: 3.01, HDOP: 1.33, VDOP: 2.70\x00\x00\x00\x00'"
94,1,1747504341527041180,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000032.99, RMS: 0.00, \xcf\x83_lat: 0.82 m, \xcf\x83_lon: 0.82 m, \xcf\x83_alt: 84.80 m\x00\x00'"
95,1,1747504341527340203,"b'\x00\x01\x00\x00\xab\x00\x00\x00[GAGSV] Msg 1/1, Total Sats: 3\n  \xe2\x9e\xa4 PRN: 6, Elev: 75\xc2\xb0, Azim: 40\xc2\xb0, SNR: 46\n  \xe2\x9e\xa4 PRN: 9, Elev: 52\xc2\xb0, Azim: 7\xc2\xb0, SNR: 46\n  \xe2\x9e\xa4 PRN: 10, Elev: 39\xc2\xb0, Azim: 180\xc2\xb0, SNR: 45\n\x00\x00'"
96,1,1747504341546231132,"b'\x00\x01\x00\x007\x00\x00\x00[GNVTG] Track: 0.00 deg, Speed: 0.00 knots / 0.00 km/h\x00\x00'"
97,1,1747504341546443720,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000032.99\x00\x00\x00'"
98,1,1747504341546671588,b'\x00\x01\x00\x00\x1a\x00\x00\x00[GNHDT] Yaw: 0.00 degrees\x00\x00\x00'
99,1,1747504341546928105,"b'\x00\x01\x00\x00B\x00\x00\x00[PKHM] Roll:  3.676642\xc2\xb0, Pitch:  0.333779\xc2\xb0, Yaw:  0.003780*2E\xc2\xb0\x00\x00\x00'"
100,1,1747504341706078985,"b'\x00\x01\x00\x00l\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592857 , Altitude: m, Satellites: , HDOP: , Fix: Bilinmeyen ()\x00'"
101,1,1747504341735078771,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000033.19, RMS: 0.00, \xcf\x83_lat: 0.78 m, \xcf\x83_lon: 0.78 m, \xcf\x83_alt: 84.81 m\x00\x00'"
102,1,1747504341735316096,"b'\x00\x01\x00\x007\x00\x00\x00[GNVTG] Track: 0.00 deg, Speed: 0.01 knots / 0.01 km/h\x00\x00'"
103,1,1747504341735657235,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000033.19\x00\x00\x00'"
104,1,1747504341735808554,b'\x00\x01\x00\x00\x1a\x00\x00\x00[GNHDT] Yaw: 0.00 degrees\x00\x00\x00'
105,1,1747504341736079356,"b'\x00\x01\x00\x00B\x00\x00\x00[PKHM] Roll:  3.676211\xc2\xb0, Pitch:  0.331241\xc2\xb0, Yaw:  0.001816*2B\xc2\xb0\x00\x00\x00'"
106,1,1747504341933383986,"b'\x00\x01\x00\x00r\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592858 E, Altitude: 39.454m, Satellites: 7, HDOP: 1.33, Fix: GPS Fix\x00\x00\x00'"
107,1,1747504341933717269,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000033.39, RMS: 0.00, \xcf\x83_lat: 0.75 m, \xcf\x83_lon: 0.75 m, \xcf\x83_alt: 84.82 m\x00\x00'"
108,1,1747504341933950149,"b'\x00\x01\x00\x007\x00\x00\x00[GNVTG] Track: 0.00 deg, Speed: 0.01 knots / 0.03 km/h\x00\x00'"
109,1,1747504341934092622,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000033.39\x00\x00\x00'"
110,1,1747504341934173335,b'\x00\x01\x00\x00\x1a\x00\x00\x00[GNHDT] Yaw: 0.00 degrees\x00\x00\x00'
111,1,1747504341934260851,"b'\x00\x01\x00\x00B\x00\x00\x00[PKHM] Roll:  3.685678\xc2\xb0, Pitch:  0.328767\xc2\xb0, Yaw:  0.000911*20\xc2\xb0\x00\x00\x00'"
112,1,1747504342132743339,"b'\x00\x01\x00\x00r\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592858 E, Altitude: 39.457m, Satellites: 7, HDOP: 1.33, Fix: GPS Fix\x00\x00\x00'"
